concurrency,evidence_type,value,classification,source_file,source_line,scope_note
8,benchmark_duration_s,3600,Evidence,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
8,trajectory_start_ratio,0.25_to_0.75,Evidence,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
8,warmup_requests_per_lane,10,Evidence,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
8,dataset_entries,393,Evidence,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
8,warmup_profile_handoff,2026-08-08 05:23:13.433 - PhaseRunner - INFO - All accelerated-warmup wire requests returned; preserving paused DAG work for profiling handoff.,Evidence,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/logs/aiperf.log,80,Raw AIPerf runtime-log line; raw log remains Git-ignored
8,profiling_recycling,2026-08-08 05:23:13.655 - AgenticReplayTiming - INFO - PROFILING setup: 8 trajectory lanes; recycle draws roots from the dataset sampler,Evidence,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/logs/aiperf.log,88,Raw AIPerf runtime-log line; raw log remains Git-ignored
12,benchmark_duration_s,3600,Evidence,data/raw/h200_gpu_resident_mtp/conc12/result/9019209525/conc_12/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
12,trajectory_start_ratio,0.25_to_0.75,Evidence,data/raw/h200_gpu_resident_mtp/conc12/result/9019209525/conc_12/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
12,warmup_requests_per_lane,10,Evidence,data/raw/h200_gpu_resident_mtp/conc12/result/9019209525/conc_12/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
12,dataset_entries,393,Evidence,data/raw/h200_gpu_resident_mtp/conc12/result/9019209525/conc_12/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
12,warmup_profile_handoff,2026-08-08 07:13:15.173 - PhaseRunner - INFO - All accelerated-warmup wire requests returned; preserving paused DAG work for profiling handoff.,Evidence,data/raw/h200_gpu_resident_mtp/conc12/result/9019209525/conc_12/aiperf_artifacts/logs/aiperf.log,101,Raw AIPerf runtime-log line; raw log remains Git-ignored
12,profiling_recycling,2026-08-08 07:13:15.388 - AgenticReplayTiming - INFO - PROFILING setup: 12 trajectory lanes; recycle draws roots from the dataset sampler,Evidence,data/raw/h200_gpu_resident_mtp/conc12/result/9019209525/conc_12/aiperf_artifacts/logs/aiperf.log,109,Raw AIPerf runtime-log line; raw log remains Git-ignored
16,benchmark_duration_s,3600,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
16,trajectory_start_ratio,0.25_to_0.75,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
16,warmup_requests_per_lane,10,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
16,dataset_entries,393,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/benchmark_command.txt,1,AIPerf command setting; not a per-ID measurement
16,id03_initial_trajectory_state,2026-08-08 08:53:17.737 - aiperf.timing.trajectory_source - INFO -     lane=13  sample_time= 68%  root_next=  8/9   ( 89% turns)  live=3 ready=2  trace_id=07dd40536557a1d6440a923557c3129dc929,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/aiperf_artifacts/logs/aiperf.log,70,Raw AIPerf runtime-log line; raw log remains Git-ignored
16,warmup_profile_handoff,2026-08-08 09:10:06.093 - PhaseRunner - INFO - All accelerated-warmup wire requests returned; preserving paused DAG work for profiling handoff.,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/aiperf_artifacts/logs/aiperf.log,124,Raw AIPerf runtime-log line; raw log remains Git-ignored
16,profiling_recycling,2026-08-08 09:10:06.310 - AgenticReplayTiming - INFO - PROFILING setup: 16 trajectory lanes; recycle draws roots from the dataset sampler,Evidence,data/raw/h200_gpu_resident_mtp/conc16/result/9020484364/conc_16/aiperf_artifacts/logs/aiperf.log,132,Raw AIPerf runtime-log line; raw log remains Git-ignored
