component,worker,rank,source_file,line_number,raw_log_line_pattern,candidate_metric_name,value,timestamp,metric_scope_interpretation,classification,source_kind,unit,avg,min,max,p50,p90,p95
frontend,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,9,Metric=dynamo_request_plane_inflight_requests; Description=Currently in-flight requests at AddressedPushRouter,dynamo_request_plane_inflight_requests,10.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,requests,1.7491,0.0,10.0,1.0,4.0,5.0
unlabeled,10.49.115.1:7503,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,23,Metric=dynamo_work_handler_queue_capacity; Description=Configured capacity of the bounded work queue,dynamo_work_handler_queue_capacity,40000.0,,configured capacity metric; not observed scheduler running,Evidence,aiperf_server_metrics_csv_aggregate,,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
unlabeled,10.49.123.178:7501,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,24,Metric=dynamo_work_handler_queue_capacity; Description=Configured capacity of the bounded work queue,dynamo_work_handler_queue_capacity,40000.0,,configured capacity metric; not observed scheduler running,Evidence,aiperf_server_metrics_csv_aggregate,,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
unlabeled,10.49.14.237:7500,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,25,Metric=dynamo_work_handler_queue_capacity; Description=Configured capacity of the bounded work queue,dynamo_work_handler_queue_capacity,40000.0,,configured capacity metric; not observed scheduler running,Evidence,aiperf_server_metrics_csv_aggregate,,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
unlabeled,10.49.62.108:7502,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,26,Metric=dynamo_work_handler_queue_capacity; Description=Configured capacity of the bounded work queue,dynamo_work_handler_queue_capacity,40000.0,,configured capacity metric; not observed scheduler running,Evidence,aiperf_server_metrics_csv_aggregate,,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
unlabeled,10.49.115.1:7503,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,27,Metric=dynamo_work_handler_queue_depth; Description=Current items in the bounded work queue awaiting dispatcher pickup,dynamo_work_handler_queue_depth,0.0,,Current items in the bounded work queue awaiting dispatcher pickup,Evidence,aiperf_server_metrics_csv_aggregate,,0.0,0.0,0.0,0.0,0.0,0.0
unlabeled,10.49.123.178:7501,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,28,Metric=dynamo_work_handler_queue_depth; Description=Current items in the bounded work queue awaiting dispatcher pickup,dynamo_work_handler_queue_depth,0.0,,Current items in the bounded work queue awaiting dispatcher pickup,Evidence,aiperf_server_metrics_csv_aggregate,,0.0,0.0,0.0,0.0,0.0,0.0
unlabeled,10.49.14.237:7500,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,29,Metric=dynamo_work_handler_queue_depth; Description=Current items in the bounded work queue awaiting dispatcher pickup,dynamo_work_handler_queue_depth,0.0,,Current items in the bounded work queue awaiting dispatcher pickup,Evidence,aiperf_server_metrics_csv_aggregate,,0.0,0.0,0.0,0.0,0.0,0.0
unlabeled,10.49.62.108:7502,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,30,Metric=dynamo_work_handler_queue_depth; Description=Current items in the bounded work queue awaiting dispatcher pickup,dynamo_work_handler_queue_depth,0.0,,Current items in the bounded work queue awaiting dispatcher pickup,Evidence,aiperf_server_metrics_csv_aggregate,,0.0,0.0,0.0,0.0,0.0,0.0
decode,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,132,Metric=dynamo_frontend_router_queue_pending_isl_tokens; Description=Sum of isl_tokens for requests pending in the router scheduler queue,dynamo_frontend_router_queue_pending_isl_tokens,0.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,tokens,0.0,0.0,0.0,0.0,0.0,0.0
prefill,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,133,Metric=dynamo_frontend_router_queue_pending_isl_tokens; Description=Sum of isl_tokens for requests pending in the router scheduler queue,dynamo_frontend_router_queue_pending_isl_tokens,173921.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,tokens,1141.0642,0.0,173921.0,0.0,0.0,0.0
decode,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,134,Metric=dynamo_frontend_router_queue_pending_requests; Description=Number of requests pending in the router scheduler queue,dynamo_frontend_router_queue_pending_requests,0.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,135,Metric=dynamo_frontend_router_queue_pending_requests; Description=Number of requests pending in the router scheduler queue,dynamo_frontend_router_queue_pending_requests,2.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0107,0.0,2.0,0.0,0.0,0.0
frontend,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,137,Metric=dynamo_frontend_inflight_requests; Description=Number of inflight requests,dynamo_frontend_inflight_requests,6.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,requests,1.3242,0.0,6.0,1.0,3.0,3.0
frontend,localhost:8000,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,144,Metric=dynamo_frontend_queued_requests; Description=Number of requests in HTTP processing queue,dynamo_frontend_queued_requests,5.0,,Dynamo frontend/request-plane metric; separate from profile interval overlap and SGLang running,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.5729,0.0,5.0,0.0,2.0,2.0
decode,694d9fdfb4d8ee1b,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,149,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,7.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,1.6203,0.0,7.0,1.0,4.0,4.0
decode,694d9fdfb4d8ee1b,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,150,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
decode,694d9fdfb4d8ee1b,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,151,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
decode,694d9fdfb4d8ee1b,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,152,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,153,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,6.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.6868,0.0,6.0,0.0,2.0,3.0
prefill,694d9fdfb4d8ee15,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,154,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,155,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee15,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,156,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,157,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,8.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.8268,0.0,8.0,0.0,2.0,3.0
prefill,694d9fdfb4d8ee13,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,158,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,159,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
prefill,694d9fdfb4d8ee13,,data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/server_metrics_export.csv,160,Metric=dynamo_component_inflight_requests; Description=Number of requests currently being processed by work handler,dynamo_component_inflight_requests,0.0,,Number of requests currently being processed by work handler,Evidence,aiperf_server_metrics_csv_aggregate,requests,0.0,0.0,0.0,0.0,0.0,0.0
