concurrency,component,field,value,scope,classification,source
configured,configured_decode,kv_cache_dtype,fp8_e4m3,configured recipe,Evidence,
configured,configured_decode,kv_offloading,none,configured matrix,Evidence,
configured,configured_decode,page_size,64,configured recipe,Evidence,
configured,configured_decode,max_running_requests,200,configured recipe,Evidence,
12;16;8,backend_hardware_and_pd_topology,gpu_type,H200,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8,backend_hardware_and_pd_topology,backend_gpu_count,32,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8,backend_hardware_and_pd_topology,configured_gpu_count_in_resource_snapshot,40,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8,backend_hardware_and_pd_topology,backend_workers,4,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8,backend_hardware_and_pd_topology,prefill_workers,2,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8,backend_hardware_and_pd_topology,decode_workers,2,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8,backend_hardware_and_pd_topology,backend_gpus_per_worker,8,"Each sweep log reports 32 backend GPUs and 40 configured GPUs on five nodes, then starts four worker processes and waits for 2 prefills plus 2 decodes. The c8 resource snapshot separately assigns 8 backend GPUs to each of four backend nodes.",Evidence,"c8:sweep_67841.log:111-117, 130-146, 173-175; c12:sweep_67842.log:111-117, 130-146, 173-175; c16:sweep_67843.log:112-118, 131-147, 174-176"
12;16;8;all,effective_prefill_server_flags,disaggregation_mode,prefill,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,transfer_backend,mooncake,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,tp_size,8,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,attn_cp_size,8,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,enable_prefill_cp,True,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,kv_cache_dtype,fp8_e4m3,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,context_length,1048576,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,max_total_tokens,1048576,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,max_running_requests,32,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,speculative_algorithm,EAGLE,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,speculative_num_steps,3,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,speculative_eagle_topk,1,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_prefill_server_flags,speculative_num_draft_tokens,4,The actual launcher command and resulting ServerArgs agree for the named flags on both prefill workers in every concurrency.,Evidence,c8:sweep_67841.log:130-136; c12:sweep_67842.log:130-136; c16:sweep_67843.log:131-137
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,disaggregation_mode,decode,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
12;16;8;all,effective_decode_server_flags_and_kv_residency_controls,transfer_backend,mooncake,The startup logs are direct runtime evidence that HiSparse is disabled and that the configured CPU/offload and LMCache paths are disabled. They also record that the decode server forces the KV cache to chunk-cache mode.,Evidence,c8:sweep_67841.log:138-145; c12:sweep_67842.log:138-145; c16:sweep_67843.log:139-146
